,row,col,lat,lon,midday
0,0,170,32.1,-117.00454166,17.5856338028
1,40,164,32.53607254,-117.054727052,13.0
2,40,165,32.53607254,-117.04636282,190.0
3,40,166,32.53607254,-117.037998588,108.0
4,41,163,32.5469743535,-117.063091284,29.0
5,41,164,32.5469743535,-117.054727052,57.0
6,41,165,32.5469743535,-117.04636282,147.0
7,41,166,32.5469743535,-117.037998588,67.0
8,41,177,32.5469743535,-116.945992036,44.0
9,41,178,32.5469743535,-116.937627804,58.0
10,42,160,32.557876167,-117.08818398,13.0
11,42,162,32.557876167,-117.071455516,26.0
12,42,163,32.557876167,-117.063091284,28.0
13,42,164,32.557876167,-117.054727052,40.0
14,42,165,32.557876167,-117.04636282,13.0
15,42,171,32.557876167,-116.996177428,2.0
16,42,174,32.557876167,-116.971084732,26.0
17,42,176,32.557876167,-116.954356268,13.0
18,43,159,32.5687779805,-117.096548212,138.0
19,43,160,32.5687779805,-117.08818398,46.0
20,43,161,32.5687779805,-117.079819748,13.0
21,43,162,32.5687779805,-117.071455516,101.0
22,43,163,32.5687779805,-117.063091284,42.0
23,43,164,32.5687779805,-117.054727052,15.0
24,43,166,32.5687779805,-117.037998588,29.0
25,43,170,32.5687779805,-117.00454166,13.0
26,43,172,32.5687779805,-116.987813196,2.0
27,43,176,32.5687779805,-116.954356268,13.0
28,44,156,32.579679794,-117.121640908,13.0
29,44,158,32.579679794,-117.104912444,73.0
30,44,159,32.579679794,-117.096548212,89.0
31,44,160,32.579679794,-117.08818398,114.0
32,44,162,32.579679794,-117.071455516,13.0
33,44,163,32.579679794,-117.063091284,65.0
34,44,165,32.579679794,-117.04636282,71.0
35,44,166,32.579679794,-117.037998588,26.0
36,44,169,32.579679794,-117.012905892,13.0
37,45,160,32.5905816075,-117.08818398,53.0
38,45,162,32.5905816075,-117.071455516,13.0
39,45,163,32.5905816075,-117.063091284,13.0
40,45,164,32.5905816075,-117.054727052,78.0
41,46,159,32.601483421,-117.096548212,13.0
42,46,162,32.601483421,-117.071455516,13.0
43,47,167,32.6123852345,-117.029634356,16.0
44,48,154,32.623287048,-117.138369372,13.0
45,48,158,32.623287048,-117.104912444,40.0
46,48,169,32.623287048,-117.012905892,13.0
47,48,174,32.623287048,-116.971084732,13.0
48,49,158,32.6341888615,-117.104912444,40.0
49,49,169,32.6341888615,-117.012905892,13.0
50,49,170,32.6341888615,-117.00454166,13.0
51,49,171,32.6341888615,-116.996177428,13.0
52,50,161,32.645090675,-117.079819748,26.0
53,51,157,32.6559924885,-117.113276676,40.0
54,51,169,32.6559924885,-117.012905892,13.0
55,52,157,32.666894302,-117.113276676,198.0
56,52,158,32.666894302,-117.104912444,16.0
57,52,161,32.666894302,-117.079819748,13.0
58,52,162,32.666894302,-117.071455516,55.0
59,52,165,32.666894302,-117.04636282,76.0
60,52,167,32.666894302,-117.029634356,13.0
61,52,168,32.666894302,-117.021270124,13.0
62,52,174,32.666894302,-116.971084732,13.0
63,53,156,32.6777961155,-117.121640908,18.0
64,53,165,32.6777961155,-117.04636282,39.0
65,53,166,32.6777961155,-117.037998588,13.0
66,54,152,32.688697929,-117.155097836,3.74211267606
67,54,153,32.688697929,-117.146733604,141.795704225
68,54,154,32.688697929,-117.138369372,212.052253521
69,54,155,32.688697929,-117.13000514,169.0
70,54,156,32.688697929,-117.121640908,65.0
71,54,158,32.688697929,-117.104912444,100.0
72,54,159,32.688697929,-117.096548212,41.0
73,54,160,32.688697929,-117.08818398,26.0
74,54,163,32.688697929,-117.063091284,26.0
75,54,165,32.688697929,-117.04636282,13.0
76,54,167,32.688697929,-117.029634356,13.0
77,54,168,32.688697929,-117.021270124,13.0
78,55,149,32.6995997425,-117.180190532,38.0
79,55,150,32.6995997425,-117.1718263,150.42556338
80,55,151,32.6995997425,-117.163462068,1745.82260563
81,55,152,32.6995997425,-117.155097836,1035.85492958
82,55,153,32.6995997425,-117.146733604,214.239366197
83,55,154,32.6995997425,-117.138369372,138.0
84,55,155,32.6995997425,-117.13000514,71.0
85,55,156,32.6995997425,-117.121640908,53.0
86,55,158,32.6995997425,-117.104912444,75.0
87,55,159,32.6995997425,-117.096548212,87.0
88,55,160,32.6995997425,-117.08818398,81.0
89,55,162,32.6995997425,-117.071455516,15.0
90,55,163,32.6995997425,-117.063091284,40.0
91,55,164,32.6995997425,-117.054727052,13.0
92,55,166,32.6995997425,-117.037998588,16.0
93,55,171,32.6995997425,-116.996177428,13.0
94,56,140,32.710501556,-117.25546862,2.0
95,56,141,32.710501556,-117.247104388,2.0
96,56,142,32.710501556,-117.238740156,29.0
97,56,143,32.710501556,-117.230375924,75.715915493
98,56,144,32.710501556,-117.222011692,2.0
99,56,149,32.710501556,-117.180190532,224.467746479
100,56,150,32.710501556,-117.1718263,3637.58549296
101,56,151,32.710501556,-117.163462068,8664.99105634
102,56,152,32.710501556,-117.155097836,1860.14359155
103,56,153,32.710501556,-117.146733604,244.236901408
104,56,154,32.710501556,-117.138369372,185.787535211
105,56,155,32.710501556,-117.13000514,44.0
106,56,156,32.710501556,-117.121640908,16.0
107,56,158,32.710501556,-117.104912444,42.0
108,56,159,32.710501556,-117.096548212,141.0
109,56,160,32.710501556,-117.08818398,44.0
110,56,161,32.710501556,-117.079819748,13.0
111,56,163,32.710501556,-117.063091284,2.0
112,56,164,32.710501556,-117.054727052,32.0
113,56,165,32.710501556,-117.04636282,40.0
114,56,167,32.710501556,-117.029634356,42.0
115,56,169,32.710501556,-117.012905892,13.0
116,56,170,32.710501556,-117.00454166,13.0
117,56,174,32.710501556,-116.971084732,13.0
118,57,140,32.7214033695,-117.25546862,2.0
119,57,141,32.7214033695,-117.247104388,58.0
120,57,142,32.7214033695,-117.238740156,70.1540140845
121,57,143,32.7214033695,-117.230375924,180.0
122,57,144,32.7214033695,-117.222011692,70.0
123,57,145,32.7214033695,-117.21364746,44.0
124,57,146,32.7214033695,-117.205283228,94.0
125,57,147,32.7214033695,-117.196918996,158.0
126,57,149,32.7214033695,-117.180190532,196.271690141
127,57,150,32.7214033695,-117.1718263,2485.88753521
128,57,151,32.7214033695,-117.163462068,1848.01802817
129,57,152,32.7214033695,-117.155097836,13.0
130,57,153,32.7214033695,-117.146733604,13.0
131,57,154,32.7214033695,-117.138369372,45.0
132,57,155,32.7214033695,-117.13000514,126.961408451
133,57,157,32.7214033695,-117.113276676,58.0
134,57,158,32.7214033695,-117.104912444,2.0
135,57,160,32.7214033695,-117.08818398,57.0
136,57,162,32.7214033695,-117.071455516,13.0
137,57,173,32.7214033695,-116.979448964,13.0
138,57,174,32.7214033695,-116.971084732,26.0
139,58,140,32.732305183,-117.25546862,42.0
140,58,142,32.732305183,-117.238740156,26.0
141,58,143,32.732305183,-117.230375924,64.0
142,58,144,32.732305183,-117.222011692,105.0
143,58,145,32.732305183,-117.21364746,165.0
144,58,146,32.732305183,-117.205283228,35.0
145,58,148,32.732305183,-117.188554764,372.537957746
146,58,149,32.732305183,-117.180190532,185.403802817
147,58,150,32.732305183,-117.1718263,35.474084507
148,58,151,32.732305183,-117.163462068,1396.9521831
149,58,152,32.732305183,-117.155097836,20.0
150,58,154,32.732305183,-117.138369372,64.873943662
151,58,155,32.732305183,-117.13000514,178.576267606
152,58,158,32.732305183,-117.104912444,65.0
153,58,159,32.732305183,-117.096548212,13.0
154,58,160,32.732305183,-117.08818398,13.0
155,58,161,32.732305183,-117.079819748,45.0
156,58,163,32.732305183,-117.063091284,17.0
157,58,164,32.732305183,-117.054727052,17.0
158,58,166,32.732305183,-117.037998588,66.0
159,58,167,32.732305183,-117.029634356,16.0
160,58,173,32.732305183,-116.979448964,13.0
161,59,140,32.7432069965,-117.25546862,581.0
162,59,141,32.7432069965,-117.247104388,164.0
