,row,col,lat,lon,pm_late
0,0,170,32.1,-117.00454166,0.0344366197183
1,40,164,32.53607254,-117.054727052,3.0
2,40,165,32.53607254,-117.04636282,88.0
3,40,166,32.53607254,-117.037998588,66.0
4,41,163,32.5469743535,-117.063091284,19.0
5,41,164,32.5469743535,-117.054727052,45.0
6,41,165,32.5469743535,-117.04636282,115.0
7,41,166,32.5469743535,-117.037998588,35.0
8,41,177,32.5469743535,-116.945992036,42.0
9,41,178,32.5469743535,-116.937627804,38.0
10,42,160,32.557876167,-117.08818398,3.0
11,42,162,32.557876167,-117.071455516,6.0
12,42,163,32.557876167,-117.063091284,26.0
13,42,164,32.557876167,-117.054727052,20.0
14,42,165,32.557876167,-117.04636282,3.0
15,42,171,32.557876167,-116.996177428,20.0
16,42,174,32.557876167,-116.971084732,6.0
17,42,176,32.557876167,-116.954356268,3.0
18,43,159,32.5687779805,-117.096548212,76.0
19,43,160,32.5687779805,-117.08818398,62.0
20,43,161,32.5687779805,-117.079819748,3.0
21,43,162,32.5687779805,-117.071455516,98.0
22,43,163,32.5687779805,-117.063091284,22.0
23,43,164,32.5687779805,-117.054727052,23.0
24,43,166,32.5687779805,-117.037998588,19.0
25,43,170,32.5687779805,-117.00454166,3.0
26,43,172,32.5687779805,-116.987813196,20.0
27,43,176,32.5687779805,-116.954356268,3.0
28,44,156,32.579679794,-117.121640908,3.0
29,44,158,32.579679794,-117.104912444,61.0
30,44,159,32.579679794,-117.096548212,77.0
31,44,160,32.579679794,-117.08818398,74.0
32,44,162,32.579679794,-117.071455516,3.0
33,44,163,32.579679794,-117.063091284,15.0
34,44,165,32.579679794,-117.04636282,41.0
35,44,166,32.579679794,-117.037998588,6.0
36,44,169,32.579679794,-117.012905892,3.0
37,45,160,32.5905816075,-117.08818398,24.0
38,45,162,32.5905816075,-117.071455516,3.0
39,45,163,32.5905816075,-117.063091284,3.0
40,45,164,32.5905816075,-117.054727052,18.0
41,46,159,32.601483421,-117.096548212,3.0
42,46,162,32.601483421,-117.071455516,3.0
43,47,167,32.6123852345,-117.029634356,16.0
44,48,154,32.623287048,-117.138369372,3.0
45,48,158,32.623287048,-117.104912444,21.0
46,48,169,32.623287048,-117.012905892,3.0
47,48,174,32.623287048,-116.971084732,3.0
48,49,158,32.6341888615,-117.104912444,21.0
49,49,169,32.6341888615,-117.012905892,3.0
50,49,170,32.6341888615,-117.00454166,3.0
51,49,171,32.6341888615,-116.996177428,3.0
52,50,161,32.645090675,-117.079819748,6.0
53,51,157,32.6559924885,-117.113276676,21.0
54,51,169,32.6559924885,-117.012905892,3.0
55,52,157,32.666894302,-117.113276676,70.0
56,52,158,32.666894302,-117.104912444,16.0
57,52,161,32.666894302,-117.079819748,3.0
58,52,162,32.666894302,-117.071455516,25.0
59,52,165,32.666894302,-117.04636282,74.0
60,52,167,32.666894302,-117.029634356,3.0
61,52,168,32.666894302,-117.021270124,3.0
62,52,174,32.666894302,-116.971084732,3.0
63,53,156,32.6777961155,-117.121640908,36.0
64,53,165,32.6777961155,-117.04636282,9.0
65,53,166,32.6777961155,-117.037998588,3.0
66,54,152,32.688697929,-117.155097836,0.0
67,54,153,32.688697929,-117.146733604,96.2066197183
68,54,154,32.688697929,-117.138369372,81.0114788732
69,54,155,32.688697929,-117.13000514,89.0
70,54,156,32.688697929,-117.121640908,45.0
71,54,158,32.688697929,-117.104912444,60.0
72,54,159,32.688697929,-117.096548212,29.0
73,54,160,32.688697929,-117.08818398,6.0
74,54,163,32.688697929,-117.063091284,6.0
75,54,165,32.688697929,-117.04636282,3.0
76,54,167,32.688697929,-117.029634356,3.0
77,54,168,32.688697929,-117.021270124,3.0
78,55,149,32.6995997425,-117.180190532,92.0
79,55,150,32.6995997425,-117.1718263,152.114788732
80,55,151,32.6995997425,-117.163462068,575.037887324
81,55,152,32.6995997425,-117.155097836,467.114788732
82,55,153,32.6995997425,-117.146733604,133.080352113
83,55,154,32.6995997425,-117.138369372,76.0
84,55,155,32.6995997425,-117.13000514,41.0
85,55,156,32.6995997425,-117.121640908,21.0
86,55,158,32.6995997425,-117.104912444,35.0
87,55,159,32.6995997425,-117.096548212,31.0
88,55,160,32.6995997425,-117.08818398,31.0
89,55,162,32.6995997425,-117.071455516,23.0
90,55,163,32.6995997425,-117.063091284,17.0
91,55,164,32.6995997425,-117.054727052,3.0
92,55,166,32.6995997425,-117.037998588,16.0
93,55,171,32.6995997425,-116.996177428,3.0
94,56,140,32.710501556,-117.25546862,20.0
95,56,141,32.710501556,-117.247104388,20.0
96,56,142,32.710501556,-117.238740156,19.0
97,56,143,32.710501556,-117.230375924,85.0114788732
98,56,144,32.710501556,-117.222011692,20.0
99,56,149,32.710501556,-117.180190532,74.3099295775
100,56,150,32.710501556,-117.1718263,829.132394366
101,56,151,32.710501556,-117.163462068,2598.81253521
102,56,152,32.710501556,-117.155097836,354.215422535
103,56,153,32.710501556,-117.146733604,210.057394366
104,56,154,32.710501556,-117.138369372,63.0344366197
105,56,155,32.710501556,-117.13000514,42.0
106,56,156,32.710501556,-117.121640908,16.0
107,56,158,32.710501556,-117.104912444,22.0
108,56,159,32.710501556,-117.096548212,89.0
109,56,160,32.710501556,-117.08818398,42.0
110,56,161,32.710501556,-117.079819748,3.0
111,56,163,32.710501556,-117.063091284,20.0
112,56,164,32.710501556,-117.054727052,32.0
113,56,165,32.710501556,-117.04636282,17.0
114,56,167,32.710501556,-117.029634356,22.0
115,56,169,32.710501556,-117.012905892,3.0
116,56,170,32.710501556,-117.00454166,3.0
117,56,174,32.710501556,-116.971084732,3.0
118,57,140,32.7214033695,-117.25546862,20.0
119,57,141,32.7214033695,-117.247104388,38.0
120,57,142,32.7214033695,-117.238740156,125.0
121,57,143,32.7214033695,-117.230375924,174.0
122,57,144,32.7214033695,-117.222011692,48.0
123,57,145,32.7214033695,-117.21364746,42.0
124,57,146,32.7214033695,-117.205283228,34.0
125,57,147,32.7214033695,-117.196918996,132.0
126,57,149,32.7214033695,-117.180190532,3.11478873239
127,57,150,32.7214033695,-117.1718263,641.80084507
128,57,151,32.7214033695,-117.163462068,175.825140845
129,57,152,32.7214033695,-117.155097836,3.0
130,57,153,32.7214033695,-117.146733604,3.0
131,57,154,32.7214033695,-117.138369372,35.0
132,57,155,32.7214033695,-117.13000514,107.03443662
133,57,157,32.7214033695,-117.113276676,38.0
134,57,158,32.7214033695,-117.104912444,20.0
135,57,160,32.7214033695,-117.08818398,45.0
136,57,162,32.7214033695,-117.071455516,3.0
137,57,173,32.7214033695,-116.979448964,3.0
138,57,174,32.7214033695,-116.971084732,6.0
139,58,140,32.732305183,-117.25546862,22.0
140,58,142,32.732305183,-117.238740156,6.0
141,58,143,32.732305183,-117.230375924,98.0
142,58,144,32.732305183,-117.222011692,93.0
143,58,145,32.732305183,-117.21364746,151.0
144,58,146,32.732305183,-117.205283228,79.0
145,58,148,32.732305183,-117.188554764,78.4821126761
146,58,149,32.732305183,-117.180190532,99.3328873239
147,58,150,32.732305183,-117.1718263,19.045915493
148,58,151,32.732305183,-117.163462068,127.906830986
149,58,152,32.732305183,-117.155097836,56.0
150,58,154,32.732305183,-117.138369372,82.0114788732
151,58,155,32.732305183,-117.13000514,92.0229577465
152,58,158,32.732305183,-117.104912444,15.0
153,58,159,32.732305183,-117.096548212,3.0
154,58,160,32.732305183,-117.08818398,3.0
155,58,161,32.732305183,-117.079819748,35.0
156,58,163,32.732305183,-117.063091284,43.0
157,58,164,32.732305183,-117.054727052,43.0
158,58,166,32.732305183,-117.037998588,23.0
159,58,167,32.732305183,-117.029634356,16.0
160,58,173,32.732305183,-116.979448964,3.0
161,59,140,32.7432069965,-117.25546862,635.0
162,59,141,32.7432069965,-117.247104388,158.0
163,59,142,32.7432069965,-117.238740156,26.0
164,59,143,32.7432069965,-117.230375924,52.0
165,59,144,32.7432069965,-117.222011692,48.0
166,59,145,32.7432069965,-117.21364746,466.0
167,59,146,32.7432069965,-117.205283228,242.0
168,59,147,32.7432069965,-117.196918996,289.0
169,59,148,32.7432069965,-117.188554764,91.4132394366
170,59,149,32.7432069965,-117.180190532,9.0573943662
171,59,150,32.7432069965,-117.1718263,203.252535211
172,59,151,32.7432069965,-117.163462068,715.923098592
173,59,152,32.7432069965,-117.155097836,328.354507042
174,59,153,32.7432069965,-117.146733604,103.022957746
175,59,154,32.7432069965,-117.138369372,264.0
176,59,155,32.7432069965,-117.13000514,390.0
177,59,156,32.7432069965,-117.121640908,60.0
178,59,157,32.7432069965,-117.113276676,120.0
179,59,158,32.7432069965,-117.104912444,99.0
