,row,col,lat,lon,pm_peak
0,0,170,32.1,-117.00454166,11.6166197183
1,40,164,32.53607254,-117.054727052,12.0
2,40,165,32.53607254,-117.04636282,208.0
3,40,166,32.53607254,-117.037998588,182.0
4,41,163,32.5469743535,-117.063091284,35.0
5,41,164,32.5469743535,-117.054727052,77.0
6,41,165,32.5469743535,-117.04636282,193.0
7,41,166,32.5469743535,-117.037998588,78.0
8,41,177,32.5469743535,-116.945992036,65.0
9,41,178,32.5469743535,-116.937627804,70.0
10,42,160,32.557876167,-117.08818398,12.0
11,42,162,32.557876167,-117.071455516,24.0
12,42,163,32.557876167,-117.063091284,42.0
13,42,164,32.557876167,-117.054727052,64.0
14,42,165,32.557876167,-117.04636282,12.0
15,42,171,32.557876167,-116.996177428,18.0
16,42,174,32.557876167,-116.971084732,24.0
17,42,176,32.557876167,-116.954356268,12.0
18,43,159,32.5687779805,-117.096548212,160.0
19,43,160,32.5687779805,-117.08818398,83.0
20,43,161,32.5687779805,-117.079819748,12.0
21,43,162,32.5687779805,-117.071455516,170.0
22,43,163,32.5687779805,-117.063091284,47.0
23,43,164,32.5687779805,-117.054727052,30.0
24,43,166,32.5687779805,-117.037998588,35.0
25,43,170,32.5687779805,-117.00454166,12.0
26,43,172,32.5687779805,-116.987813196,18.0
27,43,176,32.5687779805,-116.954356268,12.0
28,44,156,32.579679794,-117.121640908,12.0
29,44,158,32.579679794,-117.104912444,100.0
30,44,159,32.579679794,-117.096548212,123.0
31,44,160,32.579679794,-117.08818398,157.0
32,44,162,32.579679794,-117.071455516,12.0
33,44,163,32.579679794,-117.063091284,60.0
34,44,165,32.579679794,-117.04636282,82.0
35,44,166,32.579679794,-117.037998588,24.0
36,44,169,32.579679794,-117.012905892,12.0
37,45,160,32.5905816075,-117.08818398,75.0
38,45,162,32.5905816075,-117.071455516,12.0
39,45,163,32.5905816075,-117.063091284,12.0
40,45,164,32.5905816075,-117.054727052,72.0
41,46,159,32.601483421,-117.096548212,12.0
42,46,162,32.601483421,-117.071455516,12.0
43,47,167,32.6123852345,-117.029634356,23.0
44,48,154,32.623287048,-117.138369372,12.0
45,48,158,32.623287048,-117.104912444,64.0
46,48,169,32.623287048,-117.012905892,12.0
47,48,174,32.623287048,-116.971084732,12.0
48,49,158,32.6341888615,-117.104912444,64.0
49,49,169,32.6341888615,-117.012905892,12.0
50,49,170,32.6341888615,-117.00454166,12.0
51,49,171,32.6341888615,-116.996177428,12.0
52,50,161,32.645090675,-117.079819748,24.0
53,51,157,32.6559924885,-117.113276676,64.0
54,51,169,32.6559924885,-117.012905892,12.0
55,52,157,32.666894302,-117.113276676,219.0
56,52,158,32.666894302,-117.104912444,23.0
57,52,161,32.666894302,-117.079819748,12.0
58,52,162,32.666894302,-117.071455516,59.0
59,52,165,32.666894302,-117.04636282,111.0
60,52,167,32.666894302,-117.029634356,12.0
61,52,168,32.666894302,-117.021270124,12.0
62,52,174,32.666894302,-116.971084732,12.0
63,53,156,32.6777961155,-117.121640908,41.0
64,53,165,32.6777961155,-117.04636282,36.0
65,53,166,32.6777961155,-117.037998588,12.0
66,54,152,32.688697929,-117.155097836,1.15936619718
67,54,153,32.688697929,-117.146733604,172.865140845
68,54,154,32.688697929,-117.138369372,206.429507042
69,54,155,32.688697929,-117.13000514,220.0
70,54,156,32.688697929,-117.121640908,89.0
71,54,158,32.688697929,-117.104912444,117.0
72,54,159,32.688697929,-117.096548212,54.0
73,54,160,32.688697929,-117.08818398,24.0
74,54,163,32.688697929,-117.063091284,24.0
75,54,165,32.688697929,-117.04636282,12.0
76,54,167,32.688697929,-117.029634356,12.0
77,54,168,32.688697929,-117.021270124,12.0
78,55,149,32.6995997425,-117.180190532,100.0
79,55,150,32.6995997425,-117.1718263,220.628521127
80,55,151,32.6995997425,-117.163462068,1807.63809859
81,55,152,32.6995997425,-117.155097836,1190.90612676
82,55,153,32.6995997425,-117.146733604,245.085915493
83,55,154,32.6995997425,-117.138369372,160.0
84,55,155,32.6995997425,-117.13000514,82.0
85,55,156,32.6995997425,-117.121640908,51.0
86,55,158,32.6995997425,-117.104912444,79.0
87,55,159,32.6995997425,-117.096548212,84.0
88,55,160,32.6995997425,-117.08818398,83.0
89,55,162,32.6995997425,-117.071455516,30.0
90,55,163,32.6995997425,-117.063091284,40.0
91,55,164,32.6995997425,-117.054727052,12.0
92,55,166,32.6995997425,-117.037998588,23.0
93,55,171,32.6995997425,-116.996177428,12.0
94,56,140,32.710501556,-117.25546862,18.0
95,56,141,32.710501556,-117.247104388,18.0
96,56,142,32.710501556,-117.238740156,35.0
97,56,143,32.710501556,-117.230375924,120.644929577
98,56,144,32.710501556,-117.222011692,18.0
99,56,149,32.710501556,-117.180190532,188.298732394
100,56,150,32.710501556,-117.1718263,2875.47352113
101,56,151,32.710501556,-117.163462068,8242.10795775
102,56,152,32.710501556,-117.155097836,1394.66147887
103,56,153,32.710501556,-117.146733604,329.714014085
104,56,154,32.710501556,-117.138369372,167.33943662
105,56,155,32.710501556,-117.13000514,65.0
106,56,156,32.710501556,-117.121640908,23.0
107,56,158,32.710501556,-117.104912444,47.0
108,56,159,32.710501556,-117.096548212,171.0
109,56,160,32.710501556,-117.08818398,65.0
110,56,161,32.710501556,-117.079819748,12.0
111,56,163,32.710501556,-117.063091284,18.0
112,56,164,32.710501556,-117.054727052,46.0
113,56,165,32.710501556,-117.04636282,40.0
114,56,167,32.710501556,-117.029634356,47.0
115,56,169,32.710501556,-117.012905892,12.0
116,56,170,32.710501556,-117.00454166,12.0
