,Business title,zip,AM early,AM peak,Mid-day,PM peak,PM late,Type of Place,lat,lon,Total Score
0,c r e a m,92115-1939,3,25,20,18,5,Only Food,32.767243,-117.0962939,70
1,snow cones y raspados,92113-2911,3,25,20,18,5,Only Food,32.6979744,-117.0962499,70
2,jalapeno taco shop,92104-2047,7,28,25,35,25,Food & Drinks,32.748682699999996,-117.1269679,119
3,tacos el campechano inc,91950-1121,3,25,20,18,5,Only Food,32.6979744,-117.0962499,70
4,up2you cafe llc,92111-5000,3,25,20,18,5,Only Food,32.71837,-117.15781670000001,70
5,awash ethiopian restaurant,92104-1102,7,28,25,35,25,Food & Drinks,32.6770792,-117.1071669,119
6,gueros taco shop,92102-4019,3,25,20,18,5,Only Food,32.890136600000005,-117.15087749999999,70
7,the fire spot,92111-2315,7,28,25,35,25,Food & Drinks,32.773068800000004,-117.1561443,119
8,up2you cafe llc,92111-1545,27,6,3,27,30,Only Drinks,33.016118,-117.07560819999999,93
9,cold beers & cheeseburgers,92101-6910,7,28,25,35,25,Food & Drinks,32.7087909,-117.16035719999999,119
10,veggilish fresh and healthy,92101-5310,27,6,3,27,30,Only Drinks,33.803196,-117.99133700000002,93
11,2good2b llc,92128-2537,27,6,3,27,30,Only Drinks,32.8483685,-116.93399550000001,93
12,broken yolk cafe,92014-3110,7,28,25,35,25,Food & Drinks,32.7641442,-117.1195817,119
13,saigon on fifth,92103-3121,7,28,25,35,25,Food & Drinks,33.999809899999995,-117.34609099999999,119
14,mcdonalds,92128-4604,3,25,20,18,5,Only Food,32.7151109,-117.16776999999999,70
15,wtf waffles llc,91914-4036,3,25,20,18,5,Only Food,32.7107619,-117.1604031,70
16,spice & soul,92117-4403,7,28,25,35,25,Food & Drinks,32.814068199999994,-117.2166034,119
17,sushi diner 2,92120-2300,7,28,25,35,25,Food & Drinks,32.6173377,-117.0270797,119
18,waypoint public del sur,92127-4201,7,28,25,35,25,Food & Drinks,32.7280335,-117.16225690000002,119
19,san diego poke company,92116-2402,3,25,20,18,5,Only Food,32.741777,-117.25057,70
20,mary's mexican food,91911-5820,3,25,20,18,5,Only Food,32.8712569,-117.2097355,70
21,el patron traditional mexican grill inc,92126-4871,7,28,25,35,25,Food & Drinks,32.752660399999996,-117.19690729999999,119
22,a & j food service inc,92101-5604,27,6,3,27,30,Only Drinks,32.8594433,-117.22101709999998,93
23,mcdonalds 24113,92108-2717,27,6,3,27,30,Only Drinks,32.783556899999994,-117.12796370000001,93
24,mcdonalds 36374,92128-2524,27,6,3,27,30,Only Drinks,33.0132209,-117.0786021,93
