,total_count,stop_id,latitude,longitude,am_early,am_peak,midday,pm_peak,pm_late
0,214,75000,32.54,-117.03,48.0,36.0,40.0,70.0,20.0
1,214,75000,32.54,-117.03,48.0,36.0,40.0,70.0,20.0
2,101,75002,32.56,-117.05,21.0,18.0,20.0,32.0,10.0
3,98,75003,32.56,-117.05,20.0,16.0,20.0,32.0,10.0
4,101,75004,32.57,-117.07,21.0,18.0,20.0,32.0,10.0
5,101,75005,32.57,-117.07,23.0,17.0,19.0,32.0,10.0
6,101,75006,32.59,-117.08,20.0,19.0,20.0,32.0,10.0
7,95,75007,32.59,-117.08,16.0,17.0,20.0,32.0,10.0
8,101,75008,32.6,-117.08,20.0,19.0,20.0,31.0,11.0
9,99,75009,32.6,-117.08,21.0,16.0,20.0,32.0,10.0
10,101,75010,32.63,-117.1,20.0,18.0,20.0,32.0,11.0
11,95,75011,32.63,-117.1,17.0,16.0,20.0,32.0,10.0
12,101,75012,32.64,-117.1,19.0,19.0,20.0,32.0,11.0
13,94,75013,32.64,-117.1,17.0,15.0,20.0,32.0,10.0
14,101,75014,32.66,-117.11,19.0,19.0,20.0,32.0,11.0
15,93,75015,32.66,-117.11,16.0,15.0,20.0,32.0,10.0
16,101,75016,32.67,-117.11,19.0,19.0,20.0,32.0,11.0
17,92,75017,32.67,-117.11,15.0,16.0,19.0,32.0,10.0
18,100,75018,32.7,-117.15,17.0,19.0,21.0,32.0,11.0
19,90,75019,32.7,-117.15,14.0,15.0,21.0,31.0,9.0
20,138,75020,32.84,-116.98,16.0,24.0,40.0,40.0,18.0
21,138,75020,32.84,-116.98,16.0,24.0,40.0,40.0,18.0
22,69,75022,32.83,-116.98,9.0,12.0,20.0,20.0,8.0
23,36,75023,32.83,-116.98,4.0,7.0,10.0,14.0,1.0
24,69,75024,32.8,-116.98,9.0,12.0,20.0,20.0,8.0
25,66,75025,32.8,-116.98,5.0,12.0,20.0,20.0,9.0
26,69,75026,32.79,-116.98,9.0,12.0,20.0,20.0,8.0
27,423,75027,32.79,-116.98,57.0,75.0,114.0,123.0,54.0
28,423,75027,32.79,-116.98,57.0,75.0,114.0,123.0,54.0
29,423,75027,32.79,-116.98,57.0,75.0,114.0,123.0,54.0
30,258,75028,32.79,-117.0,22.0,48.0,78.0,76.0,34.0
31,258,75028,32.79,-117.0,22.0,48.0,78.0,76.0,34.0
32,272,75029,32.79,-117.0,34.0,48.0,80.0,80.0,30.0
33,272,75029,32.79,-117.0,34.0,48.0,80.0,80.0,30.0
